"period","","price_w","area_m2"
"170","润地华庭 2室2厅 108.95平米","970","108.95"
"59","济阳二村 2室1厅 66.64平米","350","66.64"
"87","共富一村 1室1厅 51.04平米","177","51.04"
"377","上钢八九村 1室1厅 38.37平米","183","38.37"
"9","上工新村 2室1厅 43.2平米","322","43.2"
"7","临沂大楼 2室1厅 61.77平米","350","61.77"
"9","梅林小区 1室0厅 32.68平米","159","32.68"
"36","清涧七街坊 1室1厅 49.16平米","205","49.16"
"71","曹杨六村(沙溪园) 1室0厅 36.25平米","182","36.25"
"114","祥和花园 2室1厅 56.65平米","146","56.65"
"75","欧风家园 1室1厅 54.05平米","185","54.05"
"302","上海阳城 1室1厅 49.6平米","294","49.6"
"39","朱行四村 1室1厅 45.66平米","233","45.66"
"19","桃园小区(嘉定) 2室1厅 55.81平米","154","55.81"
"99","新宁小区 1室2厅 47.21平米","222","47.21"
"182","瑞和苑 2室1厅 75平米","230","75"
"22","汝南街小区 2室1厅 77.08平米","498","77.08"
"36","上南十村 1室1厅 42.79平米","215","42.79"
"662","白洋苑 2室2厅 89平米","248","89"
"30","古桐四村 3室2厅 113.03平米","522","113.03"
"141","中大九里德(公寓) 3室2厅 89.21平米","341","89.21"
"48","新梅共和城 3室2厅 122.77平米","897","122.77"
"39","育秀九区 3室1厅 94.71平米","180","94.71"
"140","鹏海小区 2室2厅 71.88平米","313","71.88"
"245","芳华路580弄 2室1厅 70.2平米","333","70.2"
"7","古美西路420弄 2室1厅 74.23平米","405","74.23"
"234","金杨新村九街坊 3室1厅 74.68平米","325","74.68"
"16","金硕河畔景园南区 1室1厅 55.43平米","165","55.43"
"47","大宁金茂府 3室2厅 127.95平米","1322","127.95"
"89","贝港三区 2室1厅 72.12平米","152","72.12"
"54","沈默花苑 3室2厅 131.13平米","516","131.13"
"7","永和三村 2室1厅 62.09平米","333","62.09"
"99","杜鹃园 2室1厅 63.39平米","447","63.39"
"135","金祥苑 2室1厅 72.8平米","540","72.8"
"219","秋月枫舍 1室1厅 66.54平米","555","66.54"
"199","平型关路615弄 2室1厅 58.63平米","410","58.63"
"36","柳营路319弄 1室1厅 33.48平米","158","33.48"
"285","新梅共和城 3室2厅 127.65平米","865","127.65"
"111","莘浜路157弄 1室1厅 43.13平米","195","43.13"
"30","兰花小区 2室1厅 63.39平米","430","63.39"
"5","星丰苑 2室1厅 66.23平米","273","66.23"
"65","富林苑(三期) 2室2厅 77.75平米","335","77.75"
"170","银都新村(1至7区) 2室1厅 56.65平米","245","56.65"
"13","雍华府(公寓) 2室2厅 74.46平米","356","74.46"
"76","白雪公主 2室2厅 91.58平米","570","91.58"
"87","枫桦景苑 2室2厅 95.64平米","362","95.64"
"133","瑞和锦庭-西区 1室1厅 59.74平米","168","59.74"
"48","新泾七村 2室0厅 45.77平米","244","45.77"
"31","紫翠苑 2室2厅 80.85平米","333","80.85"
"164","旭辉玫瑰湾 3室1厅 90.07平米","295","90.07"
"49","新城盛景园 3室1厅 89.17平米","337","89.17"
"19","毕加索小镇(一期)(公寓) 2室2厅 93.09平米","500","93.09"
"76","保利金爵公寓 3室2厅 108.53平米","583","108.53"
"98","西凌新邨 1室1厅 39.21平米","282","39.21"
"18","聚缘北庭 2室1厅 73.47平米","216","73.47"
"213","新凤城 1室1厅 54.64平米","442","54.64"
"37","浦江世博家园四街坊 2室2厅 79.47平米","358","79.47"
"94","甘泉一村 1室1厅 37.95平米","183","37.95"
"113","光华坊 1室1厅 25.41平米","150","25.41"
